,severity_proba
1618,0.007904228
1619,0.0074796113
1620,0.37241393
1621,0.011929217
1622,0.41073546
1623,0.096244484
1626,0.18257539
1627,0.006898008
1628,0.17069611
1629,0.6298557
1631,0.19294737
1632,0.05496168
1633,0.012958994
1634,0.0071623544
1635,0.38723007
1636,0.07387239
1637,0.75551933
1638,0.34770682
1639,0.007789634
1641,0.07301309
1642,0.1266971
1643,0.055178586
1644,0.0048642354
1645,0.3581523
1646,0.0026845182
1647,0.06821982
1648,0.013623879
1649,0.38657054
1650,0.007912586
1651,0.0018204751
1652,0.003199243
1654,0.029947763
1655,0.02402626
1656,0.061473526
1657,0.006925013
1658,0.07364678
1659,0.027096806
1660,0.060606323
1661,0.07368676
1662,0.16273037
1663,0.004426606
1665,0.008012578
1666,0.0042780484
1667,0.018131426
1668,0.025855575
1669,0.107369035
1670,0.025451131
1671,0.012577658
1672,0.04092588
1673,0.35607296
1674,0.016504167
1675,0.0028473889
1676,0.0023703566
1677,0.09772627
1678,0.002894673
1679,0.3526542
1680,0.44672891
1681,0.17285292
1682,0.39844233
1683,0.34130624
1684,0.10842778
1685,0.013172105
1686,0.25635812
1688,0.37948716
1689,0.002349847
1690,0.0026156662
1691,0.007773011
1692,0.00059732085
1693,0.013211218
1695,0.1273588
1696,0.23053306
1697,0.037807234
1698,0.043114234
1699,0.05283974
1700,0.042048585
1701,0.22732864
1702,0.032129448
1703,0.03748462
1704,0.28670344
1705,0.022316903
1706,0.010920354
1707,0.046734348
1708,0.00515508
1709,0.029868323
1710,0.009838
1712,0.005991995
1713,0.0025057148
1714,0.18026212
1715,0.07008896
1717,0.017456932
1718,0.00621841
1720,0.004378086
1721,0.0017824976
1722,0.3005255
1723,0.0013366116
1726,0.030596877
1727,0.027595256
1728,0.05789486
1729,0.0015794641
1730,0.08910414
1731,0.0019393724
1732,0.11398238
1733,0.020123249
1734,0.0043823365
1735,0.009591761
1736,0.002156571
1738,0.011375321
1739,0.07241241
1740,0.035628997
1742,0.031384293
1743,0.11714518
1744,0.013733934
1745,0.025225876
1746,0.239873
1747,0.12296969
1748,0.014055629
1749,0.007644807
1750,0.50561637
1751,0.42486295
1752,0.01037803
1753,0.009462403
1754,0.44379768
1755,0.05089606
1756,0.312745
1757,0.034541853
1758,0.017916918
1759,0.0048375432
1760,0.32070377
1761,0.03612895
1763,0.012293681
1764,0.18640901
1765,0.00159136
1766,0.040902995
1768,0.15571183
1769,0.0050690155
1770,0.005292202
1771,0.28807384
1772,0.043297715
1773,0.21859202
1774,0.003309287
1775,0.0045311414
1776,0.015497915
1777,0.007547434
1778,0.008164534
1779,0.15644756
1780,0.1049023
1781,0.0057318304
1782,0.0036043054
1783,0.015645852
1784,0.023194958
1785,0.01172782
1786,0.03796462
1787,0.0050242073
1788,0.33490324
1789,0.006826208
1790,0.01547627
1791,0.054448716
1793,0.006225855
1794,0.04527192
1795,0.0038666367
1796,0.0051392526
1797,0.016139686
1798,0.007985282
1800,0.0037376832
1801,0.041005403
1802,0.0043756445
1803,0.0042623496
1804,0.010406011
1806,0.0068341293
1807,0.057954054
1808,0.012027426
1809,0.0064505013
1810,0.02371914
1811,0.015699325
1812,0.0058947643
